;DECISION_TREE_U2R;RANDOM_FOREST_U2R;KNN_U2R;LOGISTIC_REGRESSION_U2R;NAIVE_BAYES_U2R;SVMS_U2R
Exactitude;0.9995054156981057;0.999653790988674;0.9995054156981057;0.9995548741282951;0.9262080221573767;0.9995054156981057
Precision;0.6428571428571429;1.0;0.75;0.7777777777777778;0.007989347536617843;1.0
Rappel;0.6428571428571429;0.5;0.42857142857142855;0.5;0.8571428571428571;0.2857142857142857
F-mesure;0.6428571428571429;0.6666666666666666;0.5454545454545454;0.6086956521739131;0.0158311345646438;0.4444444444444444
Faux-positifs;5;0;2;2;1490;0
Faux-negatifs;5;7;8;7;2;10
Temps d'entrainement (s);0.25910258293151855;1.7924535274505615;0.00799870491027832;0.2286369800567627;0.06310915946960449;21.046034812927246
