;DECISION_TREE_Probe;RANDOM_FOREST_Probe;KNN_Probe;LOGISTIC_REGRESSION_Probe;NAIVE_BAYES_Probe;SVMS_Probe
Exactitude;0.9986918175296451;0.9990294130058657;0.9968350424104317;0.9921087057433431;0.8737392918934886;0.9939232814280289
Precision;0.9952712100139082;0.9980463298911527;0.9938219601235608;0.9775596072931276;0.9629629629629629;0.9765063571033721
Rappel;0.9961024498886414;0.9955456570155902;0.9852449888641426;0.9702115812917594;0.17371937639198218;0.9835746102449888
F-mesure;0.9956866564630583;0.996794425087108;0.9895148888578219;0.9738717339667459;0.2943396226415094;0.9800277392510403
Faux-positifs;17;7;22;80;24;85
Faux-negatifs;14;16;53;107;2968;59
Temps d'entrainement (s);0.44499921798706055;3.2097325325012207;0.009999752044677734;0.5053434371948242;0.07597088813781738;71.91288185119629
