;DECISION_TREE_R2L;RANDOM_FOREST_R2L;KNN_R2L;LOGISTIC_REGRESSION_R2L;NAIVE_BAYES_R2L;SVMS_R2L
Exactitude;0.9989269339576626;0.9991220368744512;0.9977075407277339;0.9945858940591162;0.5878450882840699;0.9956101843722563
Precision;0.9525222551928784;0.9873817034700315;0.9347826086956522;0.8483870967741935;0.03704548045138493;0.9100346020761245
Rappel;0.981651376146789;0.9571865443425076;0.9204892966360856;0.8042813455657493;0.9938837920489296;0.8042813455657493
F-mesure;0.9668674698795181;0.9720496894409938;0.9275808936825886;0.82574568288854;0.07142857142857142;0.8538961038961039
Faux-positifs;16;4;21;47;8448;26
Faux-negatifs;6;14;26;64;2;64
Temps d'entrainement (s);0.35909485816955566;2.3523707389831543;0.008003473281860352;0.755929708480835;0.0659947395324707;42.1724591255188
