;DECISION_TREE_attaque;RANDOM_FOREST_attaque;KNN_attaque;LOGISTIC_REGRESSION_attaque;NAIVE_BAYES_attaque;SVMS_attaque
Exactitude;0.9980947340566287;0.998518126488489;0.9959248478433448;0.9736967451706801;0.8428949457528446;0.9917703096057158
Precision;0.9981167608286252;0.9993141681431102;0.9962867752070836;0.9784156009490191;0.9975961538461539;0.9900387067395264
Rappel;0.9977751155228478;0.997489873923213;0.9949226995264989;0.9645729933253465;0.6629014775514861;0.992241428489931
F-mesure;0.9979459089352961;0.9984011876891452;0.9956042701375807;0.9714449870726802;0.7965178051204717;0.9911388437758213
Faux-positifs;33;12;65;373;28;175
Faux-negatifs;39;44;89;621;5909;136
Temps d'entrainement (s);1.163200855255127;5.972782135009766;0.017001867294311523;1.9033558368682861;0.11499619483947754;320.5191321372986
