;DECISION_TREE_DoS;RANDOM_FOREST_DoS;KNN_DoS;LOGISTIC_REGRESSION_DoS;NAIVE_BAYES_DoS;SVMS_DoS
Exactitude;0.999764574320944;0.9999117153703541;0.9990582972837763;0.9978517406786145;0.954474559312557;0.9982048791971985
Precision;0.9997099767981439;0.9999274889420636;0.9983340576560915;0.9965974082386158;0.996110525889312;0.9960979839583785
Rappel;0.9997099767981439;0.9998549883990719;0.9993474477958236;0.998114849187935;0.8913138051044084;0.9994924593967517
F-mesure;0.9997099767981439;0.9998912373563427;0.9988404956880933;0.9973555515305198;0.9408028163624536;0.9977923346965365
Faux-positifs;4;1;23;47;48;54
Faux-negatifs;4;2;9;26;1499;7
Temps d'entrainement (s);0.8521697521209717;4.630809307098389;0.01692342758178711;1.128899335861206;0.12099790573120117;107.40996050834656
