;DECISION_TREE_DoS;RANDOM_FOREST_DoS;KNN_DoS;LOGISTIC_REGRESSION_DoS;NAIVE_BAYES_DoS;SVMS_DoS
Exactitude;0.999440873531858;0.9997351469748139;0.9985580272285187;0.9974397656340775;0.9513847336950019;0.9978223089885004
Precision;0.99927441561441;0.9997097241615929;0.997248523679138;0.9957302264886392;0.9959909536595266;0.9951597853436303
Rappel;0.9993467741340474;0.9995645336562836;0.9992016889538162;0.9979677007608935;0.883654966044903;0.9994920174165458
F-mesure;0.9993467741531976;0.9997096715468455;0.9982235993852336;0.9968464688764336;0.9364496719287867;0.9973207280225331
Faux-positifs;11;2;20;47;52;47
Faux-negatifs;8;5;10;26;1427;8
Temps d'entrainement (s);1.5987353324890137;7.301972389221191;0.021097898483276367;1.9226946830749512;0.18463659286499023;167.61032128334045
