;DECISION_TREE_R2L;RANDOM_FOREST_R2L;KNN_R2L;LOGISTIC_REGRESSION_R2L;NAIVE_BAYES_R2L;SVMS_R2L
Exactitude;0.9981465317334793;0.9987806067236683;0.9975611658798208;0.9954636524717271;0.611602787456446;0.996341725035973
Precision;0.9424969896004379;0.9805555555555555;0.9388979701137655;0.8524784335942627;0.040142116546441356;0.9140979358805446
Rappel;0.9451058201058201;0.909126984126984;0.8801587301587303;0.8108465608465607;0.9818783068783068;0.8075396825396826
F-mesure;0.9396144462920135;0.9522731449501706;0.9063383509505224;0.8285983812132818;0.07565853794475959;0.8557789748377983
Faux-positifs;10;6;19;51;7979;27
Faux-negatifs;7;13;18;45;2;38
Temps d'entrainement (s);0.375201940536499;2.6382012367248535;0.010213136672973633;0.5036699771881104;0.06141090393066406;46.80059480667114
