;DECISION_TREE_Probe;RANDOM_FOREST_Probe;KNN_Probe;LOGISTIC_REGRESSION_Probe;NAIVE_BAYES_Probe;SVMS_Probe
Exactitude;0.9981010342806969;0.9984807989270695;0.9949782083273222;0.9909270232771042;0.8846691708834044;0.9915177405766823
Precision;0.9946542084986272;0.9991517194334095;0.9922838517431545;0.97149055172746;0.9554416763442308;0.9772593340669118
Rappel;0.9937964510225192;0.9909787538792074;0.9740574520569746;0.9678578817537996;0.24077663722447679;0.9658828678284396
F-mesure;0.9940805238974871;0.9957502653576744;0.9830489595834198;0.9696222079485756;0.3841939554920205;0.9714769873341641
Faux-positifs;14;1;30;82;29;77
Faux-negatifs;27;24;57;106;3023;72
Temps d'entrainement (s);0.4883763790130615;3.2825143337249756;0.010140657424926758;0.4265787601470947;0.07219362258911133;72.01644444465637
