;DECISION_TREE_attaque;RANDOM_FOREST_attaque;KNN_attaque;LOGISTIC_REGRESSION_attaque;NAIVE_BAYES_attaque;SVMS_attaque
Exactitude;0.9970627150039693;0.9981476581106113;0.9950780629796242;0.9718444032812913;0.8536649907382905;0.9904472082561524
Precision;0.9970669877965035;0.9991527970066347;0.9961590023932729;0.9772742598500864;0.9962672662797191;0.9885878482766696
Rappel;0.9964485763211292;0.9969559679801812;0.9933480155482683;0.9623991591268501;0.690849304772642;0.991093065149229
F-mesure;0.9968418281643483;0.9978549246560636;0.9947500288275201;0.9697746652131409;0.8158389319741156;0.9898377553773425
Faux-positifs;18;8;55;410;30;177
Faux-negatifs;28;35;83;632;5775;129
Temps d'entrainement (s);1.0247218608856201;12.3907790184021;0.02878856658935547;3.611231803894043;0.2040085792541504;529.3684628009796
