;DECISION_TREE_U2R;RANDOM_FOREST_U2R;KNN_U2R;LOGISTIC_REGRESSION_U2R;NAIVE_BAYES_U2R;SVMS_U2R
Exactitude;0.9996537836397353;0.9996537836397353;0.9995548472003412;0.9995548716713871;0.972253969326033;0.9994559352319928
Precision;0.7166666666666666;0.6;0.55;0.6166666666666666;0.03398912595907005;0.45
Rappel;0.75;0.6;0.5;0.65;0.75;0.35
F-mesure;0.68;0.6;0.5166666666666666;0.5800000000000001;0.055955887429512186;0.3833333333333333
Faux-positifs;4;2;4;2;1330;1
Faux-negatifs;3;8;6;5;1;9
Temps d'entrainement (s);0.18687868118286133;1.911729097366333;0.010229349136352539;0.24108004570007324;0.06101560592651367;21.777100324630737
